Sentence,Intent
"No, I don't want . Thanks a lot for you kind help.",NEGATE_INTENT
I think I'd like to see a movie.,INFORM_INTENT
I'd like to go to the AMC NewPark.  Can you tell me what movies are showing in Newark?,INFORM
I want to see Captain Marvel.  Are tickets available on the 3rd?  I'd rather see it in 3d.,INFORM
I think I'll hold off.,NEGATE_INTENT
"Not now, thanks.",NEGATE
Can you recommend a movie to watch?,INFORM_INTENT
I am in the Santa Clara area.,INFORM
What time does Hotel Mumbai play at AMC Mercado IMAX?,INFORM
I want to go see it today.,INFORM
Thank you that is all I need.,SELECT
What movies are there to watch?,INFORM_INTENT
At the Concord area. I want to watch an Adventure movie at the Veranda Luxe Cinema. ,INFORM
What time is Shazam! showing?,INFORM_INTENT
Sometime on the 6th of this month. ,INFORM
Is there another time?,REQUEST_ALTS
"No, thanks. ",NEGATE
I've always been interested in edwards fairfield. are there any biographical movies showing?,INFORM
Can you do a search for any movies in fairfield?,INFORM
Breakthrough sounds like a winner to me!,SELECT
"No, don't purchase them now. When are the showtimes?",INFORM_INTENT
The 2nd of March would be great and if you could book a regular show that would be even better!,INFORM
"Sounds like a plan, and thanks for your assistance!",SELECT
I'm searching for a movie to watch at Century at Pacific Commons.,INFORM
I'm specifically looking for movies in Fremont. ,INFORM
"I'm interested in Hotel Mumbai, thanks. What are the times this movie is available? I'd like to watch a regular show. ",INFORM
"Tomorrow would be great, thanks. ",INFORM
"Awesome. What will a ticket cost me? Also, what's this movie about?",REQUEST
You've been very helpful. Thanks.,SELECT
I would like to watch a movie in 3d from the Drama movie genre that I like.,INFORM
Could you find me movies in Menlo Park?,INFORM
Red Joan sounds good to me.,SELECT
"No, I will hold off on buying them. What times is it playing?",INFORM_INTENT
I think I would like to see it on March 9th.,INFORM
Alright. What is the address and how much does the ticket cost?,REQUEST
That sounds great. That is all I need help with today.,SELECT
I want to find a movie to watch at Edwards Fairfield.,INFORM
Please search for movies shown in Fairfield.,INFORM
Are any other movies playing?,REQUEST_ALTS
I want to watch The Curse of La Llorona.  What time is an imax show available on March 1st?,INFORM
Can you suggest any movies?,INFORM_INTENT
Can you search for movies at Stanford Theatre around Palo Alto?,INFORM
Pillow talk sounds good to me.,SELECT
I don't want any tickets right now. What time is the movie showing?,INFORM_INTENT
How about the 5th of this month?,INFORM
What type of movie is this?,REQUEST
That sounds like a plan.,SELECT
No that's all for now. Thanks for your help. ,NEGATE
I would like to watch a Biographical movie near Morgan Hill.,INFORM
Breakthrough sounds perfect.,SELECT
"No, not now. I want to watch it at regular show times at CineLux Tennant Station. What time can I watch it?",INFORM
This Sunday.,INFORM
"Sounds good thank you, that's all I need.",SELECT
"Hi, I want to find a movie to watch this weekend. ",INFORM_INTENT
I like crime movies. Can you search for movies shown in San Francisco?,INFORM
What times do they have available for me to watch it? I want to watch it This Saturday. I want to watch a Imax Show. ,INFORM
Sure that will work for me . What is the address of the theater?,REQUEST
Sounds good. That is all I need thank you very much. ,SELECT
I want to watch it at Century at Hayward. ,INFORM
I like Missing Link.,SELECT
What times could I watch it? Are there any imax shows?,INFORM
I want to watch it this Saturday.,INFORM
Thank you. That is all.,SELECT
I really enjoy Biographical movies and was thinking of watching Century at Hayward.,INFORM
"I think Breakthrough is perfect, good choice.",SELECT
"No. I would like to watch it on the 7th, and nothing fancy a regular show please.",INFORM
Sounds good,SELECT
Can you find me an IMAX showing of a comedy movie?,INFORM
"Search for movies in the San Francisco Area, specifically at the Balboa Theatre.",INFORM
Josie and the Pussycats would be perfect. I want to see it.,SELECT
No. I will buy the tickets later.,NEGATE_INTENT
"I want to watch the movie on 15th of March, are there any timing available on that day?",INFORM
That will work.,SELECT
"I'd like to see a Fantasy movie, what is playing at Contra Costa in Martinez?",INFORM
Dumbo sounds great!,SELECT
I was thinking a regular showing on March 8th would be good. ,INFORM
Sounds good. That's all I need. ,SELECT
I was thinking about seeing a 3d movie at the Lark Theater. Can you search for the movies playing in Larkspur right now?,INFORM
"The Invisibles sounds great, what time is it playing?",INFORM_INTENT
I want to see it Friday next week.,INFORM
"Sounds good, that's all the information I need.",SELECT
I want to find Animation movies that are 3d showing in Santa Rosa tonight.,INFORM
How to Train your Dragon: The Hidden World will work. ,SELECT
No not now.,NEGATE_INTENT
What times do they show?,INFORM_INTENT
Tomorrow please.,INFORM
"Are there other times?
",REQUEST_ALTS
I'm looking for a comedy to watch in San Jose at the AMC Saratoga. What movies are available?,INFORM
Missing Link sounds good.,SELECT
"No thanks, I will buy tickets later.",NEGATE_INTENT
What are the showtimes for Missing Link?,INFORM_INTENT
I want to go on the 2nd of March.,INFORM
I'm good. Thanks for the help.,NEGATE
